ScanTime,CowTag,InOrOut,Tray(IfApplicable)
2025-01-27 02:27:42,000000000840003229291895,In,0
2025-01-27 02:27:46,000000000840003229291895,Out,0
2025-01-27 02:28:15,000000000840003229291895,In,0
2025-01-27 02:28:19,000000000840003229291895,Out,0
2025-01-27 02:28:21,000000000840003229291895,In,0
2025-01-27 02:28:29,000000000840003229291895,Out,0
2025-01-27 02:28:34,000000000840003229291895,In,0
2025-01-27 02:28:43,000000000840003229291895,Out,0
2025-01-27 02:28:49,000000000840003229291895,In,0
2025-01-27 02:29:12,000000000840003229291895,Out,0
2025-01-27 02:29:12,000000000840003229291895,In,0
2025-01-27 02:29:16,000000000840003229291895,Out,0
2025-01-27 02:29:22,000000000178150620340244,In,0
2025-01-27 02:29:30,000000000178150620340244,Out,0
2025-01-27 02:29:44,000000000840003229291895,In,0
2025-01-27 02:29:48,000000000840003229291895,Out,0
2025-01-27 02:30:25,000000000840003229291812,In,0
2025-01-27 02:30:31,000000000840003229291812,Out,0
2025-01-27 02:31:03,000000000840003229291812,In,0
2025-01-27 02:31:11,000000000840003229291812,Out,0
2025-01-27 02:31:26,000000000840003229291812,In,0
2025-01-27 02:31:30,000000000840003229291812,Out,0
2025-01-27 02:32:30,000000000840003229291812,Out,0
2025-01-27 02:34:53,000000000840003267804600,In,0
2025-01-27 02:35:01,000000000840003267804600,Out,0
2025-01-27 02:35:14,000000000840003229291790,In,0
2025-01-27 02:35:28,000000000840003229291790,Out,0
2025-01-27 02:35:41,000000000840003229291790,In,0
2025-01-27 02:35:49,000000000840003229291790,Out,0
2025-01-27 02:36:49,000000000840003229291790,Out,0
2025-01-27 02:39:46,000000000840003267804616,In,0
2025-01-27 02:39:52,000000000840003267804616,Out,0
2025-01-27 02:40:02,000000000840003267804616,In,0
2025-01-27 02:40:07,000000000840003267804616,Out,0
2025-01-27 02:40:07,000000000840003267804616,In,0
2025-01-27 02:40:11,000000000840003267804616,Out,0
2025-01-27 02:41:11,000000000840003267804616,Out,0
2025-01-27 02:42:17,000000000840003267804611,In,0
2025-01-27 02:42:55,000000000840003267804611,Out,0
2025-01-27 02:42:55,000000000840003267804611,In,0
2025-01-27 02:42:59,000000000840003267804611,Out,0
2025-01-27 02:43:34,000000000840003267804611,In,0
2025-01-27 02:43:39,000000000840003267804611,Out,0
2025-01-27 02:44:28,000000000840003229291784,In,0
2025-01-27 02:44:40,000000000840003229291784,Out,0
2025-01-27 02:44:53,000000000840003209882113,In,0
2025-01-27 02:45:14,000000000840003209882113,Out,0
2025-01-27 02:46:14,000000000840003209882113,Out,0
2025-01-27 02:49:36,000000000840003229291796,In,0
2025-01-27 02:50:02,000000000840003229291796,Out,0
2025-01-27 02:51:02,000000000840003229291796,Out,0
2025-01-27 02:53:13,000000000840003229291774,In,0
2025-01-27 02:53:29,000000000840003229291774,Out,0
2025-01-27 02:53:37,000000000840003229291774,In,0
2025-01-27 02:54:04,000000000840003229291774,Out,0
2025-01-27 02:54:13,000000000840003229291774,In,0
2025-01-27 02:54:18,000000000840003229291774,Out,0
2025-01-27 02:54:18,000000000840003229291774,In,0
2025-01-27 02:54:23,000000000840003229291774,Out,0
2025-01-27 02:54:32,000000000682266584457251,In,0
2025-01-27 02:54:35,000000000840003229291774,In,0
2025-01-27 02:54:38,000000000682266584457251,Out,0
2025-01-27 02:54:40,000000000840003229291774,Out,0
2025-01-27 02:55:44,000000000840003229291774,Out,0
2025-01-27 02:58:44,000000000840003209882123,In,0
2025-01-27 02:58:53,000000000840003209882123,Out,0
2025-01-27 02:58:53,000000000840003209882123,In,0
2025-01-27 02:59:00,000000000840003209882123,Out,0
